face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
detected_faces/19062_face0.png,White,White,Male,50-59,"[9.9826670e-01 1.2451051e-06 7.4463365e-05 1.6351269e-05 1.6734048e-05
 2.0952695e-05 1.6034550e-03]",[9.9988073e-01 2.0279710e-06 2.3196182e-05 9.4047660e-05],[0.9988089  0.00119107],"[6.6881885e-06 3.1778545e-06 4.1722520e-05 3.0090034e-04 4.4657444e-03
 7.8857243e-02 6.7727566e-01 2.2532752e-01 1.3721303e-02]"
detected_faces/19074_face0.png,Latino_Hispanic,Indian,Male,50-59,"[5.3109705e-02 3.4039449e-02 3.7452924e-01 5.3133987e-05 6.0974871e-04
 1.9470942e-01 3.4294933e-01]",[0.09006537 0.19165926 0.01729803 0.7009774 ],[9.999429e-01 5.708747e-05],"[9.4005365e-05 5.5736004e-05 3.3507045e-04 5.5056042e-04 2.2853706e-02
 3.2596406e-01 6.0763967e-01 4.1880067e-02 6.2707905e-04]"
detected_faces/19047_face0.png,Latino_Hispanic,White,Male,20-29,"[0.27991948 0.00520057 0.315401   0.00045655 0.00152592 0.17484471
 0.22265176]",[0.69696033 0.01283345 0.00543784 0.2847684 ],[0.98594695 0.01405308],"[2.5283252e-06 7.9143960e-05 9.8121492e-03 4.7574404e-01 4.7250536e-01
 4.1179802e-02 6.6937244e-04 7.2371554e-06 3.1451071e-07]"
detected_faces/19036_face0.png,Black,Black,Male,60-69,"[3.1659496e-03 9.2748362e-01 4.7040123e-02 2.1526903e-04 1.0988667e-03
 1.8902365e-02 2.0937687e-03]",[3.1627473e-04 9.8453528e-01 2.3589991e-03 1.2789401e-02],[9.9975491e-01 2.4504922e-04],"[2.6081919e-04 2.6231751e-04 6.1946100e-04 1.9014472e-04 2.0072365e-03
 3.6354199e-02 3.8090843e-01 5.2357811e-01 5.5819310e-02]"
detected_faces/19032_face0.png,Indian,White,Female,20-29,"[0.21816999 0.00992054 0.21933736 0.00397626 0.0038394  0.51445436
 0.03030209]",[0.91495866 0.01228456 0.01234332 0.06041351],[0.03745546 0.9625445 ],"[9.8704954e-04 8.9287810e-02 2.2051978e-01 3.8376018e-01 2.4253334e-01
 5.1598873e-02 1.0280931e-02 9.6307165e-04 6.8895359e-05]"
detected_faces/19026_face0.png,Black,Black,Male,30-39,"[2.6413047e-04 9.9292719e-01 3.6719628e-03 4.8931010e-06 2.2439515e-05
 2.9496755e-03 1.5962536e-04]",[8.4197847e-05 9.9866867e-01 1.1151003e-04 1.1356544e-03],[0.9652303  0.03476968],"[2.7039473e-06 3.3606266e-05 1.8514286e-03 8.7723203e-02 3.9700431e-01
 3.8004789e-01 1.2976608e-01 3.4887723e-03 8.1959566e-05]"
detected_faces/19503_face0.png,White,White,Female,20-29,"[6.6267222e-01 2.5046077e-02 2.5529146e-01 3.0732577e-04 4.3989564e-04
 1.3631854e-02 4.2611092e-02]",[8.6546385e-01 1.1970548e-01 4.7083377e-04 1.4359844e-02],[0.02628626 0.97371376],"[4.9175380e-04 9.4595719e-03 1.2538452e-01 4.7312087e-01 3.3862668e-01
 4.8729002e-02 3.8747443e-03 2.8669843e-04 2.6183672e-05]"
detected_faces/19503_face1.png,Black,Black,Male,3-9,"[3.0075216e-05 9.9952459e-01 1.0472477e-04 7.4310096e-06 6.4970183e-05
 2.6405029e-04 4.2069050e-06]",[5.2839091e-06 9.9974734e-01 6.7593908e-05 1.7979740e-04],[0.94142085 0.05857915],"[3.5664496e-01 6.3981712e-01 2.8213032e-03 4.7706746e-04 1.6646621e-04
 6.3658081e-05 7.8676967e-06 1.1013412e-06 4.4878018e-07]"
detected_faces/19487_face0.png,White,White,Female,30-39,"[7.7105016e-01 1.0260955e-03 1.7792860e-01 3.0724809e-04 4.1972473e-03
 1.1783997e-02 3.3706654e-02]",[0.97235703 0.00203278 0.01666597 0.00894414],[3.9086706e-04 9.9960917e-01],"[5.9847872e-07 1.5894046e-05 8.7924302e-04 4.9441975e-02 4.5849663e-01
 4.3560472e-01 5.3994976e-02 1.5384022e-03 2.7613783e-05]"
detected_faces/19458_face0.png,Black,Black,Female,20-29,"[2.47345429e-06 9.99388039e-01 1.94991313e-04 1.04451728e-05
 1.12982874e-04 2.90152821e-04 8.91191576e-07]",[5.5360911e-06 9.9931550e-01 2.1609674e-04 4.6284785e-04],[0.00170981 0.99829024],"[8.1249198e-08 1.0827906e-04 6.2814653e-02 7.6534742e-01 1.6739538e-01
 4.3040118e-03 2.9921768e-05 1.4420586e-07 6.2211520e-09]"
detected_faces/19472_face0.png,White,White,Male,50-59,"[9.6572000e-01 6.7636342e-05 2.5741477e-03 2.3888137e-05 4.1239662e-05
 4.6339433e-04 3.1109696e-02]",[9.99471903e-01 1.09317276e-04 3.42318162e-05 3.84514831e-04],[9.9994206e-01 5.7953890e-05],"[4.42777355e-06 3.72259774e-06 9.81879566e-05 2.07425049e-03
 2.76820026e-02 2.46979862e-01 6.07836843e-01 1.07740454e-01
 7.58027332e-03]"
detected_faces/19438_face0.png,White,White,Male,30-39,"[9.8506957e-01 4.3851142e-06 4.7700102e-03 5.0027766e-03 2.1535212e-03
 1.3056851e-04 2.8690363e-03]",[9.9886376e-01 3.0365477e-06 7.3642703e-04 3.9671169e-04],[9.9986392e-01 1.3607189e-04],"[1.2501060e-05 7.5301577e-05 2.4362651e-03 1.2897399e-01 4.9158469e-01
 3.3009946e-01 4.5661297e-02 1.1351740e-03 2.1289776e-05]"
detected_faces/19452_face0.png,Black,Black,Male,60-69,"[0.00490295 0.9121374  0.0455093  0.00121118 0.00449866 0.02342045
 0.00832018]",[0.00282641 0.94892645 0.00826837 0.03997876],[9.9941534e-01 5.8462750e-04],"[8.7834916e-05 3.5940949e-04 9.7749254e-04 8.2803064e-04 4.0160897e-03
 3.4935791e-02 2.8546733e-01 5.8293474e-01 9.0393230e-02]"
