id,img,Has_Profanity,Has_Ethnicity,Has_Religion,Has_Class,Has_Gender,Has_Nationality,Has_Disability,Has_Sexual_Orientation,Ethnicity_Count,Religion_Count,Class_Count,Gender_Count,Nationality_Count,Disability_Count,Sexual_Orientation_Count,Hate Speech Category Count
42953,img/42953.png,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
23058,img/23058.png,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1
13894,img/13894.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37408,img/37408.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82403,img/82403.png,1,0,0,0,1,1,0,0,0,0,0,1,3,0,0,2
16952,img/16952.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76932,img/76932.png,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
70914,img/70914.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2973,img/02973.png,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
58306,img/58306.png,0,1,0,0,1,0,0,0,1,0,0,5,0,0,0,2
79351,img/79351.png,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
34096,img/34096.png,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
25489,img/25489.png,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
19324,img/19324.png,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,3
79346,img/79346.png,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0,2
13426,img/13426.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97628,img/97628.png,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,2
14238,img/14238.png,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1
28936,img/28936.png,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
59784,img/59784.png,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,2
2146,img/02146.png,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,2
70146,img/70146.png,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,4
28061,img/28061.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97180,img/97180.png,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1
49752,img/49752.png,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,2
25610,img/25610.png,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
15872,img/15872.png,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
72640,img/72640.png,0,0,1,0,1,1,0,0,0,2,0,2,2,0,0,3
64318,img/64318.png,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17956,img/17956.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93547,img/93547.png,0,1,1,0,1,0,0,0,1,1,0,2,0,0,0,3
10743,img/10743.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37091,img/37091.png,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
25719,img/25719.png,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
76825,img/76825.png,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,2
72598,img/72598.png,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
43078,img/43078.png,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
51846,img/51846.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1569,img/01569.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95812,img/95812.png,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1
6418,img/06418.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53976,img/53976.png,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,2
70193,img/70193.png,1,1,1,0,1,0,0,0,2,1,0,1,0,0,0,3
60427,img/60427.png,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
78395,img/78395.png,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4876,img/04876.png,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
92075,img/92075.png,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1
86354,img/86354.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74386,img/74386.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59613,img/59613.png,2,1,0,0,1,0,1,0,1,0,0,1,0,1,0,3
10263,img/10263.png,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,3
48279,img/48279.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52610,img/52610.png,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
58371,img/58371.png,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
